model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
tabtransformer,preDisparate posEqqOds,0.653292683,0.751322751,0.270833333,0.52,0.356164384,0.124711138,-0.35,-0.554385965,-0.690492476,0.21744186,0.114030092,1
mlp,preLFR posROC,0.5,0.867724868,0,0,,-0.001095344,0,0,0,,0.141880587,0
tabtransformer,preLFR posCalibrated,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
tabtransformer,preDisparate posROC,0.644146341,0.735449735,0.254901961,0.52,0.342105263,0.123311656,-0.35,-0.544517544,-0.673050616,0.237209302,0.116128455,1
tabtransformer,preLFR posEqqOds,0.484756098,0.841269841,0,0,,-0.019766194,0,0.016447368,0.029069767,inf,0.152862926,1
tabnet,preDisparate posEqqOds,0.582195122,0.53968254,0.170212766,0.64,0.268907563,0.13625595,-0.45,-0.417982456,-0.423050616,0.520542636,0.107899679,1
xgb,preLFR posCalibrated,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
adversarial,preReweighing inAD,0.656341463,0.756613757,0.276595745,0.52,0.361111111,0.114572518,-0.35,-0.512719298,-0.631668947,0.232973422,0.113272807,1
adversarial,preReweighing inAD posEqqOds,0.639390244,0.756613757,0.266666667,0.48,0.342857143,0.124348101,-0.4,-0.585964912,-0.707934337,0.197674419,0.118301346,1
metafair,preLFR posCalibrated,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preReweighing inAD posCalibrated,0.628536585,0.767195767,0.268292683,0.44,0.333333333,0.116881474,-0.45,-0.620833333,-0.73119015,0.171317829,0.121609381,1
adversarial,inAD posCalibrated,0.642439024,0.761904762,0.272727273,0.48,0.347826087,0.120349106,-0.4,-0.589254386,-0.71374829,0.191085271,0.117484991,1
adversarial,inAD posROC,0.5,0.867724868,0,0,,-0.002468679,0,0,0,,0.141880587,0
adversarial,preLFR inAD posEqqOds,0.5,0.867724868,0,0,,1.57E-19,0,0,0,,0.141880587,0
metafair,preLFR,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preLFR inAD,0.495,0.682539683,0.127659574,0.24,0.166666667,6.43E-05,-0.7,-0.619736842,-0.567031464,0.258497317,0.159263615,1
tabnet,preLFR posROC,0.376097561,0.476190476,0.069767442,0.24,0.108108108,-0.072897287,0.05,0.198245614,0.306087551,2.734496124,0.163900293,1
xgb,preLFR posROC,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
