model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
xgb,preLFR posROC,0.5,0.867724868,0,0,,0,0,0,0,,0.141880587,0
adversarial,preLFR inAD,0.5,0.867724868,0,0,,-8.13E-15,0,0,0,,0.141880587,0
adversarial,preDisparate inAD,0.579146341,0.534391534,0.168421053,0.64,0.266666667,-0.035254446,0.409090909,0.594453711,0.717557252,3.540540541,0.107765496,1
adversarial,preDisparate inAD posCalibrated,0.719390244,0.777777778,0.326530612,0.64,0.432432432,0.159317112,-0.348484848,-0.311940506,-0.324295867,0.096111519,0.095232849,1
adversarial,preReweighing inAD posCalibrated,0.639390244,0.756613757,0.266666667,0.48,0.342857143,0.10007419,-0.166666667,-0.17999722,-0.219136615,0.282327586,0.118301346,1
adversarial,inAD posEqqOds,0.696341463,0.767195767,0.306122449,0.6,0.405405405,0.178545409,-0.303030303,-0.293800389,-0.324295867,0.096111519,0.101741273,1
metafair,preLFR,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preDisparate inAD posROC,0.69804878,0.740740741,0.285714286,0.64,0.395061728,0.146325915,-0.348484848,-0.344050598,-0.377730982,0.083652618,0.100172989,1
adversarial,preReweighing inAD posROC,0.693292683,0.761904762,0.3,0.6,0.4,0.212385185,-0.303030303,-0.28470948,-0.307054488,0.144167278,0.102501386,1
adversarial,preDisparate inAD posEqqOds,0.609634146,0.587301587,0.188235294,0.64,0.290909091,0.106480605,-0.727272727,-0.680150125,-0.648854962,0,0.108447978,1
metafair,preLFR posEqqOds,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preLFR inAD posCalibrated,0.5,0.867724868,0,0,,-1.19E-15,0,0,0,,0.141880587,0
metafair,preLFR posROC,0.5,0.867724868,0,0,,,0,0,0,,0.141880587,0
adversarial,preLFR inAD posROC,0.5,0.867724868,0,0,,-1.12E-19,0,0,0,,0.141880587,0
