model,BM,balanced_acc,acc,precision,recall,f1,mcc,eq_opp_diff,avg_odd_diff,spd,disparate_impact,theil_idx,fair_score
xgb,preDisparate posROC,0.730410897,0.78254092,0.765243902,0.940074906,0.843697479,0.330747133,0.006444283,0.039060028,0.01658177,1.021731663,0.085104135,0.095
adversarial,preReweighing inAD posEqqOds,0.739361068,0.794232268,0.768231768,0.960049938,0.853496115,0.331536876,0.009036198,0.055428846,0.029393581,1.038013627,0.072005426,0.126
cat,preLFR posROC,0.5,0.624318005,0.624318005,1,0.768714012,-0.005467524,0,0,0,1,0.059630498,0.021
mlp,preLFR posROC,0.5,0.624318005,0.624318005,1,0.768714012,,0,0,0,1,0.059630498,0.021
tabnet,preDisparate posEqqOds,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.332255635,0.009036198,0.052651068,0.02735068,1.035278413,0.072232698,0.121
lgbm,preLFR posEqqOds,0.496667806,0.619641465,0.622745098,0.991260924,0.764932563,-0.03035255,-0.02424151,-0.016219116,-0.017693941,0.982269838,0.065108124,0.083
xgb,preLFR posROC,0.497526432,0.554169914,0.622722401,0.725343321,0.670126874,-0.005347169,0.149221538,0.101523337,0.111784985,1.159529883,0.246930646,0.814
tabtransformer,preLFR posEqqOds,0.477867396,0.477007015,0.603174603,0.474406991,0.531097135,-0.042882038,-0.194402528,-0.197497257,-0.195177679,0.636732039,0.454707788,1
metafair,posEqqOds,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
xgb,preLFR posCalibrated,0.5,0.375681995,0,0,,0,0,0,0,,0.979012251,0
adversarial,preDisparate inAD,0.735211691,0.791114575,0.765174129,0.960049938,0.851605759,0.321359335,0.009036198,0.05536054,0.029618703,1.038153566,0.072457546,0.126
metafair,preLFR posCalibrated,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
lr,preLFR posROC,0.503942168,0.449727202,0.630853994,0.285892634,0.39347079,0.014763886,-0.149541089,-0.096264169,-0.107820144,0.650477083,0.637458133,1
adversarial,preLFR inAD posEqqOds,0.5,0.624318005,0.624318005,1,0.768714012,,0,0,0,1,0.059630498,0.021
adversarial,preReweighing inAD,0.519986687,0.615744349,0.634851138,0.905118602,0.746268657,0.054621522,-0.360702303,-0.413821097,-0.403462851,0.590683801,0.120272359,1
adversarial,inAD posCalibrated,0.73728638,0.792673422,0.7666999,0.960049938,0.852549889,0.335472625,0.009036198,0.052651068,0.02735068,1.035278413,0.072232698,0.121
adversarial,inAD posROC,0.73623997,0.790335152,0.767068273,0.95380774,0.850306066,0.335072343,0.017113742,0.059467618,0.034500833,1.044915314,0.076116332,0.146
adversarial,inAD posEqqOds,0.738323724,0.793452845,0.76746507,0.960049938,0.85302274,0.333396591,0.009036198,0.054039957,0.028372131,1.036644216,0.072119366,0.123
metafair,preLFR,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
adversarial,preLFR inAD,0.5,0.624318005,0.624318005,1,0.768714012,,0,0,0,1,0.059630498,0.021
adversarial,preReweighing inAD posROC,0.740398413,0.795011691,0.769,0.960049938,0.853970017,0.340523866,0.009036198,0.051330485,0.026104107,1.033759473,0.071890878,0.117
metafair,preLFR posROC,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
adversarial,preReweighing inAD posCalibrated,0.740398413,0.795011691,0.769,0.960049938,0.853970017,0.332630677,0.009036198,0.051330485,0.026104107,1.033759473,0.071890878,0.117
adversarial,preDisparate inAD posCalibrated,0.738736849,0.793452845,0.768,0.958801498,0.852859522,0.317998838,0.003541693,0.041707094,0.017482259,1.02254958,0.0728263,0.092
adversarial,preDisparate inAD posEqqOds,0.739352003,0.792673422,0.7693857,0.95380774,0.851727982,0.319389695,-0.011326315,0.032952507,0.007388716,1.009568191,0.07577117,0.077
adversarial,preDisparate inAD posROC,0.733954186,0.787996882,0.765829146,0.951310861,0.848552339,0.336803986,0.02034476,0.070668737,0.044144132,1.05769974,0.077879068,0.173
metafair,preLFR posEqqOds,0.5,0.375681995,0,0,,,0,0,0,,0.979012251,0
adversarial,preLFR inAD posROC,0.501037344,0.625097428,0.624804992,1,0.769083053,0.036019333,0,0.001388889,0.00102145,1.001022495,0.059625965,0.024
adversarial,preLFR inAD posCalibrated,0.5,0.624318005,0.624318005,1,0.768714012,,0,0,0,1,0.059630498,0.021
